state,date,sex,age,ethnicity,population,area,year,Population_absolute
Perlis,01/01/2012,both,overall,overall,239.4,821,2012,239400
Pulau Pinang,01/01/2012,both,overall,overall,1623.2,1048,2012,1623200
Sabah,01/01/2012,both,overall,overall,3432.7,73631,2012,3432700
Sarawak,01/01/2012,both,overall,overall,2569.7,124450,2012,2569700
Selangor,01/01/2012,both,overall,overall,5702.4,8104,2012,5702400
Terengganu,01/01/2012,both,overall,overall,1094.1,13035,2012,1094100
Kuala Lumpur,01/01/2012,both,overall,overall,1702.1,243,2012,1702100
Labuan,01/01/2012,both,overall,overall,90.5,91,2012,90500
Putrajaya,01/01/2012,both,overall,overall,78.3,49,2012,78300
Johor,01/01/2013,both,overall,overall,3474.4,19210,2013,3474400
Kedah,01/01/2013,both,overall,overall,2039.8,9500,2013,2039800
Kelantan,01/01/2013,both,overall,overall,1683.5,15099,2013,1683500
Melaka,01/01/2013,both,overall,overall,856.7,1664,2013,856700
Negeri Sembilan,01/01/2013,both,overall,overall,1072.2,6686,2013,1072200
Pahang,01/01/2013,both,overall,overall,1568.7,36137,2013,1568700
Perak,01/01/2013,both,overall,overall,2447.2,21035,2013,2447200
Perlis,01/01/2013,both,overall,overall,242.1,821,2013,242100
Pulau Pinang,01/01/2013,both,overall,overall,1662.6,1048,2013,1662600
Sabah,01/01/2013,both,overall,overall,3611.5,73631,2013,3611500
Sarawak,01/01/2013,both,overall,overall,2642.5,124450,2013,2642500
Selangor,01/01/2013,both,overall,overall,5904.7,8104,2013,5904700
Terengganu,01/01/2013,both,overall,overall,1113.4,13035,2013,1113400
Kuala Lumpur,01/01/2013,both,overall,overall,1723.4,243,2013,1723400
Labuan,01/01/2013,both,overall,overall,91.4,91,2013,91400
Putrajaya,01/01/2013,both,overall,overall,79.7,49,2013,79700
Johor,01/01/2014,both,overall,overall,3559.8,19210,2014,3559800
Kedah,01/01/2014,both,overall,overall,2062.7,9500,2014,2062700
Kelantan,01/01/2014,both,overall,overall,1723.4,15099,2014,1723400
Melaka,01/01/2014,both,overall,overall,871.7,1664,2014,871700
Negeri Sembilan,01/01/2014,both,overall,overall,1079.6,6686,2014,1079600
Pahang,01/01/2014,both,overall,overall,1591.7,36137,2014,1591700
Perak,01/01/2014,both,overall,overall,2458.8,21035,2014,2458800
Perlis,01/01/2014,both,overall,overall,245.1,821,2014,245100
Pulau Pinang,01/01/2014,both,overall,overall,1678.1,1048,2014,1678100
Sabah,01/01/2014,both,overall,overall,3669.9,73631,2014,3669900
Sarawak,01/01/2014,both,overall,overall,2664,124450,2014,2664000
Selangor,01/01/2014,both,overall,overall,6051.3,8104,2014,6051300
Terengganu,01/01/2014,both,overall,overall,1140.4,13035,2014,1140400
Kuala Lumpur,01/01/2014,both,overall,overall,1737.4,243,2014,1737400
Labuan,01/01/2014,both,overall,overall,93.8,91,2014,93800
Putrajaya,01/01/2014,both,overall,overall,80.9,49,2014,80900
Johor,01/01/2015,both,overall,overall,3610.3,19210,2015,3610300
Kedah,01/01/2015,both,overall,overall,2096.5,9500,2015,2096500
Kelantan,01/01/2015,both,overall,overall,1760.6,15099,2015,1760600
Melaka,01/01/2015,both,overall,overall,889,1664,2015,889000
Negeri Sembilan,01/01/2015,both,overall,overall,1088.8,6686,2015,1088800
Pahang,01/01/2015,both,overall,overall,1607.9,36137,2015,1607900
Perak,01/01/2015,both,overall,overall,2466.9,21035,2015,2466900
Perlis,01/01/2015,both,overall,overall,248.5,821,2015,248500
Pulau Pinang,01/01/2015,both,overall,overall,1698.1,1048,2015,1698100
Sabah,01/01/2015,both,overall,overall,3720.5,73631,2015,3720500
Sarawak,01/01/2015,both,overall,overall,2701.5,124450,2015,2701500
Selangor,01/01/2015,both,overall,overall,6178,8104,2015,6178000
Terengganu,01/01/2015,both,overall,overall,1161,13035,2015,1161000
Kuala Lumpur,01/01/2015,both,overall,overall,1780.4,243,2015,1780400
Labuan,01/01/2015,both,overall,overall,95.1,91,2015,95100
Putrajaya,01/01/2015,both,overall,overall,83,49,2015,83000
Johor,01/01/2016,both,overall,overall,3651.8,19210,2016,3651800
Kedah,01/01/2016,both,overall,overall,2119.7,9500,2016,2119700
Kelantan,01/01/2016,both,overall,overall,1796.7,15099,2016,1796700
Melaka,01/01/2016,both,overall,overall,901.1,1664,2016,901100
Negeri Sembilan,01/01/2016,both,overall,overall,1099.3,6686,2016,1099300
Pahang,01/01/2016,both,overall,overall,1626.7,36137,2016,1626700
Perak,01/01/2016,both,overall,overall,2482.1,21035,2016,2482100
Perlis,01/01/2016,both,overall,overall,251,821,2016,251000
Pulau Pinang,01/01/2016,both,overall,overall,1717.7,1048,2016,1717700
Sabah,01/01/2016,both,overall,overall,3802.8,73631,2016,3802800
Sarawak,01/01/2016,both,overall,overall,2738.7,124450,2016,2738700
Selangor,01/01/2016,both,overall,overall,6291.5,8104,2016,6291500
Terengganu,01/01/2016,both,overall,overall,1183.4,13035,2016,1183400
Kuala Lumpur,01/01/2016,both,overall,overall,1789.7,243,2016,1789700
Labuan,01/01/2016,both,overall,overall,96.8,91,2016,96800
Putrajaya,01/01/2016,both,overall,overall,84.4,49,2016,84400
Johor,01/01/2017,both,overall,overall,3697,19210,2017,3697000
Kedah,01/01/2017,both,overall,overall,2143.9,9500,2017,2143900
Kelantan,01/01/2017,both,overall,overall,1829,15099,2017,1829000
Melaka,01/01/2017,both,overall,overall,913.1,1664,2017,913100
Negeri Sembilan,01/01/2017,both,overall,overall,1114,6686,2017,1114000
Pahang,01/01/2017,both,overall,overall,1647,36137,2017,1647000
Perak,01/01/2017,both,overall,overall,2493.2,21035,2017,2493200
Perlis,01/01/2017,both,overall,overall,252,821,2017,252000
Pulau Pinang,01/01/2017,both,overall,overall,1744.1,1048,2017,1744100
Sabah,01/01/2017,both,overall,overall,3855.9,73631,2017,3855900
Sarawak,01/01/2017,both,overall,overall,2766.3,124450,2017,2766300
Selangor,01/01/2017,both,overall,overall,6380.7,8104,2017,6380700
Terengganu,01/01/2017,both,overall,overall,1208,13035,2017,1208000
Kuala Lumpur,01/01/2017,both,overall,overall,1793.2,243,2017,1793200
Labuan,01/01/2017,both,overall,overall,97.6,91,2017,97600
Putrajaya,01/01/2017,both,overall,overall,87.5,49,2017,87500
Johor,01/01/2018,both,overall,overall,3749.4,19210,2018,3749400
Kedah,01/01/2018,both,overall,overall,2163,9500,2018,2163000
Kelantan,01/01/2018,both,overall,overall,1860.5,15099,2018,1860500
Melaka,01/01/2018,both,overall,overall,922.4,1664,2018,922400
Negeri Sembilan,01/01/2018,both,overall,overall,1122.9,6686,2018,1122900
Pahang,01/01/2018,both,overall,overall,1664.7,36137,2018,1664700
Perak,01/01/2018,both,overall,overall,2503.5,21035,2018,2503500
Perlis,01/01/2018,both,overall,overall,253.5,821,2018,253500
Pulau Pinang,01/01/2018,both,overall,overall,1762.8,1048,2018,1762800
Sabah,01/01/2018,both,overall,overall,3898.4,73631,2018,3898400
Sarawak,01/01/2018,both,overall,overall,2791.7,124450,2018,2791700
Selangor,01/01/2018,both,overall,overall,6475,8104,2018,6475000
Terengganu,01/01/2018,both,overall,overall,1228.3,13035,2018,1228300
Kuala Lumpur,01/01/2018,both,overall,overall,1790,243,2018,1790000
Labuan,01/01/2018,both,overall,overall,99,91,2018,99000
Putrajaya,01/01/2018,both,overall,overall,97.2,49,2018,97200
Johor,01/01/2019,both,overall,overall,3761.2,19210,2019,3761200
Kedah,01/01/2019,both,overall,overall,2173.7,9500,2019,2173700
Kelantan,01/01/2019,both,overall,overall,1883.8,15099,2019,1883800
Melaka,01/01/2019,both,overall,overall,928.4,1664,2019,928400
Negeri Sembilan,01/01/2019,both,overall,overall,1126.2,6686,2019,1126200
Pahang,01/01/2019,both,overall,overall,1671.4,36137,2019,1671400
Perak,01/01/2019,both,overall,overall,2508.8,21035,2019,2508800
Perlis,01/01/2019,both,overall,overall,254,821,2019,254000
Pulau Pinang,01/01/2019,both,overall,overall,1768.8,1048,2019,1768800
Sabah,01/01/2019,both,overall,overall,3904.4,73631,2019,3904400
Sarawak,01/01/2019,both,overall,overall,2806,124450,2019,2806000
Selangor,01/01/2019,both,overall,overall,6506.1,8104,2019,6506100
Terengganu,01/01/2019,both,overall,overall,1244.5,13035,2019,1244500
Kuala Lumpur,01/01/2019,both,overall,overall,1782.5,243,2019,1782500
Labuan,01/01/2019,both,overall,overall,99.3,91,2019,99300
Putrajaya,01/01/2019,both,overall,overall,103.7,49,2019,103700
Johor,01/01/2020,both,overall,overall,4009.7,19210,2020,4009700
Kedah,01/01/2020,both,overall,overall,2131.4,9500,2020,2131400
Kelantan,01/01/2020,both,overall,overall,1792.5,15099,2020,1792500
Melaka,01/01/2020,both,overall,overall,998.4,1664,2020,998400
Negeri Sembilan,01/01/2020,both,overall,overall,1200,6686,2020,1200000
Pahang,01/01/2020,both,overall,overall,1591.3,36137,2020,1591300
Perak,01/01/2020,both,overall,overall,2496,21035,2020,2496000
Perlis,01/01/2020,both,overall,overall,284.9,821,2020,284900
Pulau Pinang,01/01/2020,both,overall,overall,1740.4,1048,2020,1740400
Sabah,01/01/2020,both,overall,overall,3418.8,73631,2020,3418800
Sarawak,01/01/2020,both,overall,overall,2453.7,124450,2020,2453700
Selangor,01/01/2020,both,overall,overall,6994.4,8104,2020,6994400
Terengganu,01/01/2020,both,overall,overall,1149.4,13035,2020,1149400
Kuala Lumpur,01/01/2020,both,overall,overall,1982.1,243,2020,1982100
Labuan,01/01/2020,both,overall,overall,95.1,91,2020,95100
Putrajaya,01/01/2020,both,overall,overall,109.2,49,2020,109200
Johor,01/01/2021,both,overall,overall,4020,19210,2021,4020000
Kedah,01/01/2021,both,overall,overall,2151.7,9500,2021,2151700
