date,sex,age,ethnicity,population,year
01/01/2001,female,15-19,chinese,248.6,2001
01/01/2001,female,15-19,indian,82.9,2001
01/01/2001,female,15-19,other_citizen,14.7,2001
01/01/2001,female,20-24,overall,1056.8,2001
01/01/2001,female,20-24,bumi_malay,517.9,2001
01/01/2001,female,20-24,bumi_other,121.1,2001
01/01/2001,female,20-24,chinese,233,2001
01/01/2001,female,20-24,indian,77.7,2001
01/01/2001,female,20-24,other_citizen,11.6,2001
01/01/2001,female,25-29,overall,961.9,2001
01/01/2001,female,25-29,bumi_malay,440.9,2001
01/01/2001,female,25-29,bumi_other,105.1,2001
01/01/2001,female,25-29,chinese,224.5,2001
01/01/2001,female,25-29,indian,73.3,2001
01/01/2001,female,25-29,other_citizen,9.7,2001
01/01/2001,female,30-34,overall,914.5,2001
01/01/2001,female,30-34,bumi_malay,426.3,2001
01/01/2001,female,30-34,bumi_other,98.5,2001
01/01/2001,female,30-34,chinese,228.6,2001
01/01/2001,female,30-34,indian,70.8,2001
01/01/2001,female,30-34,other_citizen,9.5,2001
01/01/2001,female,35-39,overall,834.3,2001
01/01/2001,female,35-39,bumi_malay,392,2001
01/01/2001,female,35-39,bumi_other,86.9,2001
01/01/2001,female,35-39,chinese,221.7,2001
01/01/2001,female,35-39,indian,66.4,2001
01/01/2001,female,35-39,other_citizen,8.6,2001
01/01/2001,female,40-44,overall,724.8,2001
01/01/2001,female,40-44,bumi_malay,343,2001
01/01/2001,female,40-44,bumi_other,67.3,2001
01/01/2001,female,40-44,chinese,209.2,2001
01/01/2001,female,40-44,indian,61.6,2001
01/01/2001,female,40-44,other_citizen,6.8,2001
01/01/2001,female,45-49,overall,604.3,2001
01/01/2001,female,45-49,bumi_malay,286.7,2001
01/01/2001,female,45-49,bumi_other,51.3,2001
01/01/2001,female,45-49,chinese,187.1,2001
01/01/2001,female,45-49,indian,52.7,2001
01/01/2001,female,45-49,other_citizen,5.2,2001
01/01/2001,female,50-54,overall,448.2,2001
01/01/2001,female,50-54,bumi_malay,209.8,2001
01/01/2001,female,50-54,bumi_other,38.6,2001
01/01/2001,female,50-54,chinese,147.3,2001
01/01/2001,female,50-54,indian,36.1,2001
01/01/2001,female,50-54,other_citizen,3.7,2001
01/01/2001,female,55-59,overall,328.3,2001
01/01/2001,female,55-59,bumi_malay,152,2001
01/01/2001,female,55-59,bumi_other,29,2001
01/01/2001,female,55-59,chinese,113.9,2001
01/01/2001,female,55-59,indian,24.2,2001
01/01/2001,female,55-59,other_citizen,2.6,2001
01/01/2001,female,60-64,overall,268.5,2001
